"Status","Duration","Credit_History","Purpose","Credit_Amount","Savings_Accounts","Present_Employment_Since","Installment_Rate","Marital_Status","Other_Debtors","Present_Residence_Since","Property"
2,6,2,8,1,3,2,3,1,64,3,1
2,18,3,24,5,5,3,2,2,42,3,2
4,24,3,25,1,5,3,4,3,47,3,2
2,15,1,13,2,3,4,2,2,25,3,1
2,30,4,84,1,4,3,2,2,49,3,1
4,48,2,48,1,1,3,2,3,33,1,1
3,21,2,29,2,3,2,1,3,28,1,1
1,36,2,82,1,3,3,2,2,26,3,1
4,24,4,20,1,4,3,2,2,30,3,2
1,15,4,14,1,3,2,3,2,25,3,2
3,42,0,63,1,2,1,1,2,33,3,2
4,13,2,14,2,1,2,4,1,64,3,1
1,24,2,66,1,1,3,2,4,29,3,1
2,24,4,17,1,5,3,2,2,48,3,2
4,12,4,36,5,2,3,1,2,37,3,2
4,15,1,16,2,5,3,4,3,34,1,1
1,18,2,19,5,4,4,4,3,23,3,2
1,36,2,40,1,1,3,3,2,30,3,1
4,12,2,24,5,5,3,3,3,50,3,1
4,12,2,17,1,4,2,4,1,31,3,1
1,30,2,39,1,3,1,4,2,40,3,1
4,12,2,8,1,5,3,4,3,38,3,1
1,45,2,18,1,3,3,4,4,23,3,1
2,45,4,46,2,1,3,4,3,27,3,1
