"","Date","Value"
"1",2016 Feb,197
"2",2016 Mar,255
"3",2016 Apr,193
"4",2016 May,45
"5",2016 Jun,246
"6",2016 Jul,374
"7",2016 Aug,142
"8",2016 Sep,305
"9",2016 Oct,99
"10",2016 Nov,117
"11",2016 Dec,225
"12",2017 Jan,220
"13",2017 Feb,220
"14",2017 Mar,121
"15",2017 Apr,205
"16",2017 May,206
"17",2017 Jun,203
"18",2017 Jul,189
"19",2017 Aug,147
"20",2017 Sep,88
"21",2017 Oct,143
"22",2017 Nov,223
"23",2017 Dec,150
"24",2018 Jan,137
"25",2018 Feb,394
"26",2018 Mar,226
"27",2018 Apr,142
"28",2018 May,318
"29",2018 Jun,219
"30",2018 Jul,61
"31",2018 Aug,259
"32",2018 Sep,79
"33",2018 Oct,168
"34",2018 Nov,91
"35",2018 Dec,192
"36",2019 Jan,250
"37",2019 Feb,6
"38",2019 Mar,230
"39",2019 Apr,298
"40",2019 May,28
"41",2019 Jun,218
"42",2019 Jul,97
"43",2019 Aug,235
"44",2019 Sep,194
"45",2019 Oct,95
"46",2019 Nov,208
"47",2019 Dec,127
"48",2020 Jan,236
"49",2020 Feb,261
"50",2020 Mar,-1397
"51",2020 Apr,-20471
"52",2020 May,2616
"53",2020 Jun,4631
"54",2020 Jul,1584
"55",2020 Aug,1564
"56",2020 Sep,951
"57",2020 Oct,691
"58",2020 Nov,270
"59",2020 Dec,-183
"60",2021 Jan,365
"61",2021 Feb,509
"62",2021 Mar,824
"63",2021 Apr,365
"64",2021 May,421
"65",2021 Jun,796
"66",2021 Jul,931
"67",2021 Aug,487
"68",2021 Sep,466
