"","Cement","Blast_Furnace_Slag","Fly_Ash","Water","Superplasticizer","Coarse_Aggregate","Fine_Aggregate","Age","Strength"
"1",540,0,0,162,2.5,1040,676,28,79.99
"2",540,0,0,162,2.5,1055,676,28,61.89
"3",332.5,142.5,0,228,0,932,594,270,40.27
"4",332.5,142.5,0,228,0,932,594,365,41.05
"5",198.6,132.4,0,192,0,978.4,825.5,360,44.3
"6",266,114,0,228,0,932,670,90,47.03
"7",380,95,0,228,0,932,594,365,43.7
"8",380,95,0,228,0,932,594,28,36.45
"935",184,86,190,213,6,923,623,28,22.93
"936",156,178,187,221,7,854,614,28,29.41
